word_count,character_count,average_word_length,sentence_count,average_sentence_length,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,difficult_words,difficult_word_ratio,grade,source
296,1875,5.199324324324325,11,26.90909090909091,29.31484848484851,15.87804713804714,19.41952861952862,17.122413403193683,70,0.23648648648648649,15.59,arxiv
91,502,4.351648351648351,6,15.166666666666666,72.44303113553113,6.9228021978021985,7.8249084249084255,8.344100000000001,11,0.12087912087912088,7.465,fineweb-edu
155,1075,5.819354838709677,6,25.833333333333332,2.40831632653061,19.00989795918368,22.589115646258506,19.117987234576393,54,0.34838709677419355,18.665,arxiv
220,1422,5.340909090909091,8,27.5,20.279511986301372,17.231455479452055,18.803881278538814,16.678067442207542,59,0.2681818181818182,16.46,arxiv
185,1243,5.605405405405405,9,20.555555555555557,30.947327327327372,14.04936936936937,18.16816816816817,16.04434344847333,63,0.34054054054054056,15.425,fineweb-edu
242,1271,3.896694214876033,32,7.5625,93.93344266528928,2.0362345041322314,3.6861570247933884,5.387261240367923,17,0.07024793388429752,2.9465384615384616,tinystories
81,487,4.345679012345679,6,13.5,85.63333333333334,5.207234042553193,6.692198581560284,5.46131890053228,11,0.13580246913580246,6.18,wikipedia-en
76,504,5.0131578947368425,5,15.2,42.19081927710846,11.498457831325304,14.35084337349398,14.265292616868656,19,0.25,11.18,wikipedia-en
120,786,5.408333333333333,6,20.0,41.305000000000035,12.466666666666669,15.333333333333332,15.021129683784007,32,0.26666666666666666,14.735,arxiv
135,693,3.7777777777777777,18,7.5,96.28866123642439,1.6645989974937372,3.256307435254804,5.033348758259628,3,0.022222222222222223,2.3016666666666667,tinystories
196,1029,3.8622448979591835,32,6.125,96.02176868556703,1.3723131443298975,2.6311855670103093,6.6274283507984215,6,0.030612244897959183,2.157647058823529,tinystories
60,379,4.6,4,15.0,68.90058823529414,7.872352941176469,9.741176470588236,9.516144504307135,15,0.25,8.175,wikipedia-en
113,727,5.168141592920354,4,28.25,14.222840909090905,17.424116161616165,20.001010101010102,17.410965686947208,37,0.3274336283185841,17.7,arxiv
97,576,4.752577319587629,5,19.4,51.6345,10.827166666666667,13.096666666666668,12.68835289967788,27,0.27835051546391754,11.7,fineweb-edu
177,1062,4.649717514124294,12,14.75,63.92431169429099,8.09029005524862,9.790239410681401,10.504223727775692,40,0.22598870056497175,8.616666666666667,fineweb-edu
315,1710,4.1682539682539685,23,13.695652173913043,77.1763010033445,6.005177257525084,7.375250836120401,9.43228470229965,14,0.044444444444444446,6.175,fineweb-edu
37,232,5.162162162162162,2,18.5,19.36500000000001,15.030000000000001,17.2,15.247664890283005,11,0.2972972972972973,13.42,arxiv
119,721,4.798319327731092,8,14.875,50.91717987804881,9.976981707317073,12.97926829268293,12.38480682065935,31,0.2605042016806723,9.47,arxiv
160,1039,5.3,9,17.77777777777778,34.92430555555555,12.804583333333337,16.86111111111111,15.021129683784007,44,0.275,13.35,fineweb-edu
79,557,5.708860759493671,3,26.333333333333332,10.808508771929837,18.04526315789474,19.60701754385965,17.122413403193683,33,0.4177215189873418,18.44333333333333,arxiv
73,417,4.164383561643835,5,14.6,79.2856153846154,6.076051282051285,8.291282051282051,8.238735603445708,11,0.1506849315068493,7.015000000000001,wikipedia-en
137,888,5.386861313868613,7,19.571428571428573,42.47072992700731,12.197601668404591,15.127841501564133,14.348710955821954,40,0.291970802919708,13.45,fineweb-edu
170,828,3.652941176470588,17,10.0,95.54675237759777,2.3729129975343426,3.9294117647058826,3.1291,6,0.03529411764705882,2.96,tinystories
107,663,5.037383177570093,6,17.833333333333332,35.031666666666666,12.844814814814818,16.08888888888889,14.790194502661404,28,0.2616822429906542,11.816666666666666,arxiv
30,176,4.5,2,15.0,61.05125000000001,8.718750000000004,11.4,11.20814326018867,11,0.36666666666666664,7.575,wikipedia-en
95,668,5.947368421052632,4,23.75,5.849153225806475,18.21943548387097,21.773118279569896,19.032712561301913,34,0.35789473684210527,19.3,arxiv
171,1156,5.637426900584796,8,21.375,21.199042159763337,15.550525147928994,18.62751479289941,16.678067442207542,57,0.3333333333333333,15.69,arxiv
179,1253,5.64245810055866,13,13.76923076923077,26.58899308556616,12.952247191011235,15.814001728608469,14.220115178616776,67,0.3743016759776536,14.05,arxiv
